id,main,description,icon,main_ja
200,Thunderstorm,thunderstormwithlightrain,11d,弱い雷雨
201,Thunderstorm,thunderstormwithrain,11d,雷雨
202,Thunderstorm,thunderstormwithheavyrain,11d,強い雷雨
210,Thunderstorm,lightthunderstorm,11d,弱い雷
211,Thunderstorm,thunderstorm,11d,雷
212,Thunderstorm,heavythunderstorm,11d,強い雷
221,Thunderstorm,raggedthunderstorm,11d,ときどき雷
230,Thunderstorm,thunderstormwithlightdrizzle,11d,弱い霧雨を伴う雷
231,Thunderstorm,thunderstormwithdrizzle,11d,霧雨を伴う雷
232,Thunderstorm,thunderstormwithheavydrizzle,11d,強い霧雨を伴う雷
300,Drizzle,lightintensitydrizzle,09d,弱い霧雨
301,Drizzle,drizzle,09d,霧雨
302,Drizzle,heavyintensitydrizzle,09d,強い霧雨
310,Drizzle,lightintensitydrizzlerain,09d,弱い雨と霧雨
311,Drizzle,drizzlerain,09d,雨と霧雨
312,Drizzle,heavyintensitydrizzlerain,09d,強い雨と霧雨
313,Drizzle,showerrainanddrizzle,09d,にわか雨と霧雨
314,Drizzle,heavyshowerrainanddrizzle,09d,強いにわか雨と霧雨
321,Drizzle,showerdrizzle,09d,にわか霧雨
500,Rain,lightrain,10d,小雨
501,Rain,moderaterain,10d,雨
502,Rain,heavyintensityrain,10d,強い雨
503,Rain,veryheavyrain,10d,非常に激しい雨
504,Rain,extremerain,10d,猛烈な雨
511,Rain,freezingrain,13d,雨氷
520,Rain,lightintensityshowerrain,09d,弱いにわか雨
521,Rain,showerrain,09d,にわか雨
522,Rain,heavyintensityshowerrain,09d,強いにわか雨
531,Rain,raggedshowerrain,09d,ときどきにわか雨
600,Snow,lightsnow,13d,小雪
601,Snow,Snow,13d,雪
602,Snow,Heavysnow,13d,大雪
611,Snow,Sleet,13d,凍雨
612,Snow,Lightshowersleet,13d,弱いにわか凍雨
613,Snow,Showersleet,13d,にわか凍雨
615,Snow,Lightrainandsnow,13d,弱いみぞれ
616,Snow,Rainandsnow,13d,みぞれ
620,Snow,Lightshowersnow,13d,弱いにわか雪
621,Snow,Showersnow,13d,にわか雪
622,Snow,Heavyshowersnow,13d,強いにわか雪
701,Mist,mist,50d,もや
711,Smoke,Smoke,50d,煙っている
721,Haze,Haze,50d,煙霧
731,Dust,sand/dustwhirls,50d,砂塵旋風
741,Fog,fog,50d,霧
751,Sand,sand,50d,降砂
761,Dust,dust,50d,降塵
762,Ash,volcanicash,50d,降灰
771,Squall,squalls,50d,スコール
781,Tornado,tornado,50d,竜巻
800,Clear,clearsky,01d,快晴
801,Clouds,fewclouds:11-25%,02d,晴れ
802,Clouds,scatteredclouds:25-50%,03d,千切れ雲
803,Clouds,brokenclouds:51-84%,04d,雲がち
804,Clouds,overcastclouds:85-100%,04d,曇り
